Id;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
56442;Shallow;"A Star is Born";2018;1;0;2018-10-15;"TV & movie soundtrack,Pop,Folk,Country,Rock,Duet";English
59020;"Dance Monkey";"Tones and I";2019;0;0;2019-08-26;Pop;English
49375;"Tennessee Whiskey";"Chris Stapleton";2015;0;0;2015-07-21;Blues,Rock,Country;English
12617;"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock;English
6534;"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop;English
57377;"Someone You Loved";"Lewis Capaldi";2018;0;0;2019-02-20;Pop;English
14609;"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop;English
14121;"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country;English
59413;Memories;"Maroon 5";2019;0;0;2019-11-03;Pop;English
11646;"J'irai où tu iras";"Céline Dion";1995;1;0;2016-03-21;"French pop,Duet";French
7300;"Dancing Queen";ABBA;1976;0;0;2015-03-27;Disco,Pop;English
12543;Creep;Radiohead;1992;0;1;2008-03-07;Rock,Alternative;English
36600;"Can't Help Falling In Love";"Elvis Presley";1961;0;0;2011-05-30;Pop,Soul,Oldies,Love;English
52796;Perfect;"Ed Sheeran";2017;0;0;2017-04-19;Pop,Love;English
8530;"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop";English
56466;"Always Remember Us This Way";"A Star is Born";2018;0;0;2018-11-05;"TV & movie soundtrack,Pop";English
5103;"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies;English
7125;"Friends In Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country;English
48052;"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro;English
11342;Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Teen pop,Pop";English
45873;"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop";English
5952;"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet";French
59619;"Avant toi";Slimane;2019;1;0;2020-01-09;"French pop,Duet";French
58304;"Truth Hurts";Lizzo;2017;0;1;2019-06-25;Rap;English
14236;Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative;English
58131;"Old Town Road (remix)";"Lil Nas X";2019;1;1;2019-05-15;Rap,Duet,Country;English
59553;"Into the Unknown";"Frozen 2";2019;0;0;2019-12-19;"TV & movie soundtrack,Pop";English
53998;Valerie;"Amy Winehouse";2007;0;0;2018-01-23;Pop,Soul;English
59760;"Don't Start Now";"Dua Lipa";2019;0;0;2019-11-28;Pop,Disco,Funk,Electro;English
57991;"Bad Guy";"Billie Eilish";2019;0;0;2019-05-01;Pop,Electro;English
45000;"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop;English
58670;Señorita;"Shawn Mendes";2019;1;0;2019-07-09;Pop,Duet;English
55731;"A nos souvenirs";"Trois Cafés Gourmands";2017;0;0;2018-07-16;"French pop,Folk";French
13717;"Fly Me To The Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz,Love;English
5476;"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll";English
6656;"Folsom Prison Blues";"Johnny Cash";1957;0;0;2007-05-04;Country;English
12257;"Don't Stop Me Now";Queen;1978;0;0;2007-09-03;Rock,Pop;English
5921;"I Will Survive";"Gloria Gaynor";1978;0;0;2007-05-04;Disco;English
12320;Jolene;"Dolly Parton";1974;0;0;2011-05-31;Folk,Country;English
5468;"I Wanna Dance with Somebody";"Whitney Houston";1987;0;0;2012-03-05;Pop,80s;English
10454;"New York, New York";"Frank Sinatra";1979;0;0;2008-01-07;"TV & movie soundtrack,Jazz";English
9066;"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul,Pop,Oldies;English
8164;"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,80s";French
56771;"Balance ton quoi";Angèle;2018;0;0;2018-12-13;"French pop,Electro";French
6126;Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Pop;English
36011;"Someone Like You";Adele;2011;0;0;2011-05-30;Pop,Soul,Love;English
13033;"Livin' On A Prayer";"Bon Jovi";1986;0;0;2015-12-27;Rock,Hard/Metal;English
13469;"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country,Pop,Rock;English
5065;"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Gospel,Blues;English
10783;Africa;Toto;1980;0;0;2007-07-06;Pop,Rock;English
8203;"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock;English
13008;"Barbie Girl";Aqua;1997;1;0;2008-02-07;"Dance,Teen pop,Duet";English
8110;"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,80s";French
5942;"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;"TV & movie soundtrack,Love,Pop";English
52474;Despacito;"Luis Fonsi";2017;1;0;2017-02-16;Latin,Pop,Duet;Spanish
48087;"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock";English
9673;"Man! I Feel Like A Woman!";"Shania Twain";1996;0;0;2016-03-21;Country,Pop;English
10815;"Killing Me Softly";"The Fugees";1996;0;0;2007-05-04;R&B,Rap;English
5940;"Pour que tu m'aimes encore";"Céline Dion";1995;0;0;2016-06-04;"French pop";French